id	bolum	en	tr
1000	Dialogs	Export to MS Excel	Excel'e Aktar
1001	Dialogs	View :	Görünüm:
1002	Dialogs	Summary timetable of teachers	Toplu Çarşaf Liste : Öğretmenler
1003	Dialogs	Export areas	Aktarma Alanları
1004	Dialogs	Summary timetable of classes	Toplu Çarşaf Liste : Sınıflar
1005	Dialogs	Timetable for each teacher	Tablo Olarak : Öğretmenler
1006	Dialogs	Timetable for each class	Tablo Olarak : Sınıflar
1007	Dialogs	Cancel	İptal
1008	Dialogs	Contracts	Sözleşmeler
1009	Dialogs	Use colors	Renkleri Kullan
1010	Dialogs	Fit onto page	Sayfaya Sığdır
1011	Dialogs	Subject	Ders
1013	Dialogs	Subject title :	Dersin Adı
1014	Dialogs	Short :	Kısa Kodu
1017	Dialogs	Edit	Güncelle
1018	Dialogs	Homework preparation required	Evde Hazırlanma Gereklidir
1019	Dialogs	Classrooms	Derslikler
1020	Dialogs	Max. on the question marked :	Max. Soru İşaretliler
1021	Dialogs	Subjects	Dersler
1022	Dialogs	Enter subjects :	Tanımlı Dersler
1023	Dialogs	New	Yeni
1024	Dialogs	Edit	Güncelle
1025	Dialogs	Remove	Sil
1026	Dialogs	Classes	Sınıflar
1027	Dialogs	Enter classes :	Tanımlı Sınıflar
1028	Dialogs	New	Yeni
1031	Dialogs	Divisions	Gruplar
1032	Dialogs	Lessons	Ders Atama
1033	Dialogs	Time off	Zaman Tablosu
1034	Dialogs	Details	Detaylar
1035	Dialogs	Class	Sınıf
1036	Dialogs	Class name :	Sınıf Adı
1038	Dialogs	Teachers	Öğretmenler
1039	Dialogs	Enter teachers :	Tanımlı Öğretmenler ve Dersleri
1045	Dialogs	Color	Renk Kodu
1046	Dialogs	Color all	Tümünü Renklendir
1048	Dialogs	Teacher	Öğretmen
1050	Dialogs	Name :	Adı
1052	Dialogs	Class teacher for the class	Sınıf Öğretmenliği
1053	Dialogs	Approbation(License)	Branş / Unvan
1054	Dialogs	Change	Değiştir
1056	Dialogs	Male	Erkek
1057	Dialogs	Contract	Atanan Dersler
1058	Dialogs	New lesson	Yeni Ders
1059	Dialogs	Edit lesson	Dersi Güncelle
1061	Dialogs	Name of teacher :	Öğretmenin Adı
1063	Dialogs	Lesson	Ders
1064	Dialogs	More teachers	Ortak Öğretmen
1065	Dialogs	Add division	Grup Ekle
1066	Dialogs	Joint classes	Birleşik Sınıflar
1067	Dialogs	Home classroom	Sınıfın Dersliği
